"Escherichia coli str. K-12 substr. MG1655 - GI (Reference)","Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)","Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)","Escherichia coli str. K-12 substr. MG1655 - Description (Reference)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog count (reference : comparison)","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholuge status","Legionella pneumophila subsp. pneumophila ATCC 43290 - ortholog NCBI RefSeq accession","Campylobacter jejuni subsp. jejuni M1 - ortholog count (reference : comparison)","Campylobacter jejuni subsp. jejuni M1 - ortholuge status","Campylobacter jejuni subsp. jejuni M1 - ortholog NCBI RefSeq accession","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog count (reference : comparison)","Burkholderia multivorans ATCC 17616 NC_010801 - ortholuge status","Burkholderia multivorans ATCC 17616 NC_010801 - ortholog NCBI RefSeq accession","Acinetobacter baumannii 1656-2 - ortholog count (reference : comparison)","Acinetobacter baumannii 1656-2 - ortholuge status","Acinetobacter baumannii 1656-2 - ortholog NCBI RefSeq accession","Shewanella violacea DSS12 - ortholog count (reference : comparison)","Shewanella violacea DSS12 - ortholuge status","Shewanella violacea DSS12 - ortholog NCBI RefSeq accession","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog count (reference : comparison)","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholuge status","Vibrio cholerae O1 biovar El Tor str. N16961 - ortholog NCBI RefSeq accession"
"16130198","b2263","NP_416766.1","2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049505.1","1 to 1","RBB","NP_231608.1"
"16130199","b2264","NP_416767.1","bifunctional 2-oxoglutarate decarboxylase/ SHCHC synthase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013049506.1","1 to 1","RBB","NP_231609.1"
"90111411","b2265","NP_416768.4","isochorismate synthase 2","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041419537.1","1 to 1","RBB","NP_231610.1"
"16130201","b2266","NP_416769.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130202","b2267","NP_416770.1","predicted acyltransferase with acyl-CoA N-acyltransferase domain","1 to 1","RBB","WP_010948156.1","0","N/A","","1 to 1","RBB","WP_012213779.1","1 to 1","RBB","WP_000278752.1","1 to 1","SSD","WP_013053158.1","1 to 1","Borderline-SSD","NP_232193.1"
"90111412","b2268","NP_416771.4","RNase BN, tRNA processing enzyme","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000902243.1","0","N/A","","0","N/A",""
"16130204","b2269","NP_416772.1","protease, capable of cleaving an AMC-ubiquitin model substrate","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130205","b2270","NP_416773.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041420400.1","0","N/A",""
"90111413","b2271","NP_416774.2","predicted peptidase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233199.1"
"16130207","b2272","NP_416775.1","conserved protein, DUF1877 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130208","b2273","NP_416776.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"226524734","b2274","NP_416777.2","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130210","b2275","NP_416778.1","TPR-like protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"345452721","b2275","NP_416778.2","TPR-like repeats-containing protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"145698289","b2276","NP_416779.2","NADH:ubiquinone oxidoreductase, membrane subunit N","1 to 1","Borderline-SSD","WP_015443945.1","1 to 1","SSD","WP_002866856.1","1 to 1","RBB","WP_006398810.1","1 to 1","SSD","WP_001011955.1","1 to 1","RBB","WP_041419779.1","0","N/A",""
"16130212","b2277","NP_416780.1","NADH:ubiquinone oxidoreductase, membrane subunit M","1 to 1","Borderline-SSD","WP_010948466.1","1 to 1","SSD","WP_002877569.1","2 to 1","RBB","WP_006398809.1;WP_012213113.1","1 to 1","SSD","WP_000429844.1","1 to 1","RBB","WP_041419780.1","0","N/A",""
"16130213","b2278","NP_416781.1","NADH:ubiquinone oxidoreductase, membrane subunit L","1 to 1","Borderline-SSD","WP_010948467.1","1 to 1","SSD","WP_014517136.1","1 to 1","RBB","WP_012213013.1","1 to 1","SSD","WP_000121137.1","1 to 1","SSD","WP_013050912.1","1 to 1","Non-SSD","NP_232557.1"
"16130214","b2279","NP_416782.1","NADH:ubiquinone oxidoreductase, membrane subunit K","1 to 1","RBB","WP_010948468.1","0","N/A","","0","N/A","","1 to 1","SSD","WP_000529822.1","1 to 1","RBB","WP_013050913.1","0","N/A",""
"16130215","b2280","NP_416783.1","NADH:ubiquinone oxidoreductase, membrane subunit J","1 to 1","RBB","WP_010948469.1","1 to 1","RBB","WP_002866859.1","0","N/A","","1 to 1","RBB","WP_000990016.1","1 to 1","RBB","WP_041420262.1","0","N/A",""
"16130216","b2281","NP_416784.1","NADH:ubiquinone oxidoreductase, chain I","1 to 1","Non-SSD","WP_010948470.1","1 to 1","RBB","WP_002866860.1","1 to 1","RBB","WP_006398806.1","1 to 1","SSD","WP_000276693.1","1 to 1","RBB","WP_041419781.1","0","N/A",""
"16130217","b2282","NP_416785.1","NADH:ubiquinone oxidoreductase, membrane subunit H","1 to 1","Borderline-SSD","WP_010948471.1","1 to 1","SSD","WP_002866861.1","1 to 1","RBB","WP_006398805.1","1 to 1","SSD","WP_001070989.1","1 to 1","RBB","WP_041420263.1","0","N/A",""
"145698290","b2283","NP_416786.4","NADH:ubiquinone oxidoreductase, chain G","1 to 1","Non-SSD","WP_010948472.1","1 to 1","RBB","WP_002866862.1","1 to 1","RBB","WP_012213012.1","1 to 1","SSD","WP_000190953.1","1 to 1","SSD","WP_041420264.1","0","N/A",""
"16130219","b2284","NP_416787.1","NADH:ubiquinone oxidoreductase, chain F","1 to 1","Borderline-SSD","WP_015443944.1","0","N/A","","1 to 1","RBB","WP_006398803.1","1 to 1","SSD","WP_001091095.1","1 to 1","SSD","WP_013050918.1","0","N/A",""
"16130220","b2285","NP_416788.1","NADH:ubiquinone oxidoreductase, chain E","1 to 1","RBB","WP_010948474.1","0","N/A","","1 to 1","RBB","WP_006398802.1","1 to 1","RBB","WP_000973142.1","1 to 1","RBB","WP_041420265.1","0","N/A",""
"145698291","b2286","NP_416789.2","NADH:ubiquinone oxidoreductase, fused CD subunit","1 to 1","Non-SSD","WP_011216631.1","1 to 1","SSD","WP_002866864.1","1 to 1","RBB","WP_006398801.1","1 to 1","SSD","WP_000852150.1","1 to 1","RBB","WP_013050920.1","0","N/A",""
"16130222","b2287","NP_416790.1","NADH:ubiquinone oxidoreductase, chain B","1 to 1","Non-SSD","WP_010948477.1","1 to 1","SSD","WP_002777888.1","1 to 1","RBB","WP_006398799.1","1 to 1","SSD","WP_000878003.1","1 to 1","RBB","WP_041419782.1","0","N/A",""
"49176207","b2288","NP_416791.3","NADH:ubiquinone oxidoreductase, membrane subunit A","1 to 1","Non-SSD","WP_010948478.1","0","N/A","","1 to 1","RBB","WP_006398798.1","1 to 1","SSD","WP_001274550.1","1 to 1","RBB","WP_013050922.1","0","N/A",""
"16130224","b2289","NP_416792.1","DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes","1 to 1","RBB","WP_010945984.1","0","N/A","","1 to 1","RBB","WP_012467441.1","1 to 1","RBB","WP_000460184.1","0","N/A","","0","N/A",""
"16130225","b2290","NP_416793.1","valine-pyruvate aminotransferase 2","0","N/A","","1 to 1","RBB","WP_002877257.1","1 to 1","RBB","WP_006402314.1","1 to 1","SSD","WP_000078703.1","1 to 1","SSD","WP_013051305.1","1 to 1","SSD","NP_231611.1"
"16130226","b2291","NP_416794.1","5'-nucleotidase","0","N/A","","1 to 1","RBB","WP_002853125.1","0","N/A","","0","N/A","","1 to 1","SSD","WP_013051304.1","1 to 1","RBB","NP_231612.1"
"16130227","b2292","NP_416795.1","predicted transporter","1 to 1","RBB","WP_010947006.1","0","N/A","","0","N/A","","0","N/A","","1 to 1","Non-SSD","WP_013050780.1","0","N/A",""
"90111414","b2293","NP_416796.2","sugar phosphatas","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111415","b2294","NP_416797.2","conserved protein, UPF0304 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_231505.2"
"16130230","b2295","NP_416798.1","inner membrane protein, UPF0208 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050901.1","1 to 1","RBB","NP_230744.1"
"16130231","b2296","NP_416799.1","acetate kinase A and propionate kinase 2","1 to 2","RBB","WP_010947971.1","1 to 1","RBB","WP_002876956.1","2 to 2","RBB","WP_012218121.1;WP_012218246.1","0","N/A","","1 to 1","SSD","WP_013050899.1","1 to 1","RBB","NP_230743.1"
"16130232","b2297","NP_416800.1","phosphate acetyltransferase","1 to 2","RBB","WP_010947970.1","1 to 1","RBB","WP_014516977.1","0","N/A","","1 to 1","RBB","WP_001092287.1","1 to 1","SSD","WP_013050898.1","1 to 1","SSD","NP_230742.1"
"90111416","b2298","NP_416801.2","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130234","b2299","NP_416802.1","predicted NUDIX hydrolase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"49176208","b2300","NP_416803.3","phosphodiesterase activity on bis-pNPP","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_230627.1"
"16130236","b2301","NP_416804.1","glutathione S-transferase","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","WP_001058575.1","0","N/A","","0","N/A",""
"16130237","b2302","NP_416805.1","GSH-dependent disulfide bond oxidoreductase","1 to 1","RBB","WP_010947686.1","0","N/A","","1 to 1","RBB","WP_006415576.1","1 to 1","SSD","WP_000566573.1","0","N/A","","1 to 1","RBB","NP_232974.1"
"16130238","b2303","NP_416806.1","D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","YP_003556362","0","N/A",""
"16130239","b2304","NP_416807.1","conserved protein with NAD(P)-binding Rossmann-fold domain","1 to 1","RBB","WP_010947923.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_001039356.1","1 to 1","SSD","WP_013050889.1","0","N/A",""
"16130240","b2305","NP_416808.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130241","b2306","NP_416809.1","histidine/lysine/arginine/ornithine transporter subunit","0","N/A","","0","N/A","","3 to 1","RBB","WP_006414082.1;WP_012217532.1;WP_006398641.1","1 to 1","SSD","WP_000438614.1","0","N/A","","1 to 1","Borderline-SSD","NP_231498.1"
"16130242","b2307","NP_416810.1","histidine/lysine/arginine/ornithine transporter subunit","0","N/A","","0","N/A","","3 to 1","RBB","WP_006398642.1;WP_006416822.1;WP_006401214.1","1 to 1","SSD","WP_000569997.1","0","N/A","","1 to 1","RBB","NP_231495.1"
"16130243","b2308","NP_416811.1","histidine/lysine/arginine/ornithine transporter permease subunit","0","N/A","","0","N/A","","3 to 1","RBB","WP_012467549.1;WP_006397957.1;WP_006415872.1","1 to 1","SSD","WP_000010368.1","0","N/A","","1 to 1","RBB","NP_231496.1"
"16130244","b2309","NP_416812.1","histidine/lysine/arginine/ornithine transporter subunit","3 to 4","RBB","WP_010945799.1;WP_010947284.1;WP_015444955.1","1 to 3","RBB","WP_002854837.1","1 to 1","RBB","WP_012217463.1","1 to 2","RBB","WP_000135840.1","0","N/A","","2 to 1","RBB","NP_231497.1"
"16130245","b2310","NP_416813.1","lysine/arginine/ornithine transporter subunit","3 to 4","RBB","WP_010945799.1;WP_010947284.1;WP_015444955.1","1 to 3","RBB","WP_002854837.1","3 to 1","RBB","WP_012212921.1;WP_006412946.1;WP_006397956.1","1 to 2","RBB","WP_000135840.1","0","N/A","","2 to 1","RBB","NP_231497.1"
"16130246","b2311","NP_416814.1","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","1 to 1","RBB","WP_010948569.1","1 to 1","RBB","WP_014516988.1","1 to 1","RBB","WP_006414108.1","0","N/A","","1 to 1","Non-SSD","WP_013052896.1","1 to 1","RBB","NP_232169.1"
"16130247","b2312","NP_416815.1","amidophosphoribosyltransferase","1 to 1","SSD","WP_010947401.1","1 to 1","SSD","WP_002866352.1","1 to 1","RBB","WP_006399595.1","1 to 1","SSD","WP_000334670.1","1 to 1","SSD","WP_013052143.1","1 to 1","SSD","NP_230650.1"
"16130248","b2313","NP_416816.1","membrane protein required for colicin V production","1 to 1","SSD","WP_010947074.1","0","N/A","","1 to 1","RBB","WP_012217292.1","0","N/A","","1 to 1","SSD","WP_013052144.1","1 to 1","SSD","NP_230649.1"
"90111417","b2314","NP_416817.2","membrane-anchored periplasmic protein involved in septation","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013052145.1","1 to 1","RBB","NP_230648.1"
"16130250","b2315","NP_416818.1","bifunctional folylpolyglutamate synthase/ dihydrofolate synthase","1 to 1","SSD","WP_010947072.1","1 to 1","RBB","WP_002866113.1","1 to 1","RBB","WP_012217294.1","1 to 1","SSD","WP_000813081.1","1 to 1","SSD","WP_013052146.1","1 to 1","SSD","NP_230647.1"
"16130251","b2316","NP_416819.1","acetyl-CoA carboxylase, beta (carboxyltransferase) subunit","1 to 1","SSD","WP_010947071.1","1 to 1","RBB","WP_002857277.1","1 to 1","RBB","WP_006399590.1","1 to 1","SSD","WP_001071168.1","0","N/A","","1 to 1","SSD","NP_230646.1"
"16130252","b2317","NP_416820.1","conserved inner membrane protein","1 to 1","RBB","WP_015444161.1","1 to 3","RBB","WP_002866182.1","1 to 1","RBB","WP_006417058.1","1 to 1","SSD","WP_000421342.1","0","N/A","","0","N/A",""
"16130253","b2318","NP_416821.1","pseudouridylate synthase I","1 to 1","SSD","WP_010947033.1","1 to 1","RBB","WP_002864379.1","1 to 1","RBB","WP_012217297.1","1 to 1","SSD","WP_001190096.1","1 to 1","SSD","WP_041419956.1","1 to 1","SSD","NP_230645.1"
"16130254","b2319","NP_416822.1","predicted semialdehyde dehydrogenase","1 to 1","Borderline-SSD","WP_010948008.1","1 to 1","RBB","WP_002866058.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_013052149.1","1 to 1","RBB","NP_231739.1"
"16130255","b2320","NP_416823.1","erythronate-4-phosphate dehydrogenase","1 to 1","RBB","WP_014326859.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000706093.1","1 to 1","SSD","WP_013052150.1","1 to 1","SSD","NP_231740.1"
"16130256","b2321","NP_416824.1","predicted flagella assembly protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130257","b2322","NP_416825.1","predicted transporter","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130258","b2323","NP_416826.1","3-oxoacyl-[acyl-carrier-protein] synthase I","0","N/A","","0","N/A","","0","N/A","","2 to 1","SSD","WP_000442897.1;WP_000832710.1","1 to 1","SSD","WP_013052160.1","0","N/A",""
"90111418","b2324","NP_416827.4","fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase/FAD-dependent demodification enzyme","1 to 1","RBB","WP_010947261.1","1 to 1","RBB","WP_002876765.1","1 to 1","RBB","WP_012212457.1","1 to 1","SSD","WP_001043531.1","1 to 1","SSD","WP_041420371.1","1 to 1","SSD","NP_231741.1"
"16130260","b2325","NP_416828.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_013052163.1","1 to 1","RBB","NP_231743.1"
"16130261","b2326","NP_416829.1","conserved protein","1 to 1","RBB","WP_010947623.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000550438.1","0","N/A","","1 to 1","SSD","NP_231744.1"
"16130262","b2327","NP_416830.1","inner membrane protein, UPF0721 family","0","N/A","","1 to 1","RBB","WP_002867032.1","0","N/A","","1 to 1","RBB","WP_002117021.1","1 to 1","RBB","WP_013052220.1","1 to 1","Borderline-SSD","NP_232014.1"
"16130263","b2328","NP_416831.1","murein DD-endopeptidase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_041420461.1","0","N/A",""
"16130264","b2329","NP_416832.1","chorismate synthase","1 to 1","SSD","WP_010948009.1","1 to 1","SSD","WP_002866608.1","1 to 1","RBB","WP_006413771.1","1 to 1","SSD","WP_000918448.1","1 to 1","SSD","YP_003557645","1 to 1","SSD","NP_231747.1"
"90111419","b2330","NP_416833.4","N5-glutamine methyltransferase","1 to 1","RBB","WP_025519890.1","1 to 2","RBB","WP_002866560.1","1 to 1","RBB","WP_006402632.1","1 to 1","SSD","WP_000441019.1","1 to 1","SSD","WP_013052167.1","1 to 1","SSD","NP_231749.1"
"16130266","b2331","NP_416834.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000066126.1","1 to 1","RBB","WP_013052168.1","1 to 1","RBB","NP_231750.1"
"90111420","b2332","NP_416835.2","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130268","b2333","NP_416836.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130269","b2334","NP_416837.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130270","b2335","NP_416838.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130271","b2336","NP_416839.1","predicted periplasmic pilus chaperone","0","N/A","","0","N/A","","1 to 1","RBB","WP_012213372.1","0","N/A","","0","N/A","","0","N/A",""
"16130272","b2339","NP_416841.1","predicted fimbrial-like adhesin protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130273","b2340","NP_416842.1","phosphohistidine phosphatase","1 to 1","RBB","WP_010947703.1","0","N/A","","1 to 1","RBB","WP_006417364.1","1 to 1","RBB","WP_001177595.1","1 to 1","SSD","WP_013052169.1","1 to 1","SSD","NP_231702.1"
"16130274","b2341","NP_416843.1","fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase","1 to 2","Borderline-SSD","WP_010947325.1","0","N/A","","2 to 2","RBB","WP_012213199.1;WP_012212647.1","0","N/A","","1 to 1","RBB","WP_013052175.1","1 to 1","RBB","NP_230692.2"
"16130275","b2342","NP_416844.1","beta-ketoacyl-CoA thiolase, anaerobic, subunit","1 to 1","RBB","WP_010947326.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_000047932.1","1 to 1","RBB","WP_013052176.1","1 to 1","RBB","NP_230691.1"
"90111421","b2343","NP_416845.2","conserved protein, UPF0381 family","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"145698292","b2344","NP_416846.2","long-chain fatty acid outer membrane transporter","1 to 1","RBB","WP_011946743.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_001197438.1","1 to 1","SSD","WP_041420481.1","1 to 1","RBB","NP_233248.1"
"16130278","b2345","NP_416847.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130279","b2346","NP_416848.1","ABC transporter maintaining OM lipid asymmetry, OM lipoprotein component","1 to 1","RBB","WP_010947571.1","1 to 1","RBB","WP_002866712.1","2 to 1","RBB","WP_006400592.1;WP_012216201.1","1 to 1","Borderline-SSD","WP_001109856.1","1 to 1","SSD","WP_041419756.1","1 to 1","SSD","NP_231682.1"
"16130280","b2347","NP_416849.1","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000349499.1","0","N/A","","0","N/A",""
"16130281","b2349","NP_416850.1","CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase","1 to 3","RBB","WP_011213447.1","0","N/A","","0","N/A","","1 to 2","RBB","WP_000947611.1","0","N/A","","0","N/A",""
"16130282","b2350","NP_416851.1","CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase)","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130283","b2351","NP_416852.1","CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase","1 to 1","SSD","WP_015444062.1","0","N/A","","0","N/A","","1 to 1","SSD","WP_001022410.1","0","N/A","","0","N/A",""
"16130284","b2352","NP_416853.1","serotype-specific glucosyl transferase, CPS-53 (KpLE1) prophage","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130286","b2354","NP_416855.1","CPS-53 (KpLE1) prophage; conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130289","b2357","NP_416858.1","CPS-53 (KpLE1) prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"145698293","b2359","NP_416860.4","CPS-53 (KpLE1) prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130292","b2360","NP_416861.1","CPS-53 (KpLE1) prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111424","b2361","NP_416862.2","CPS-53 (KpLE1) prophage; conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130294","b2362","NP_416863.1","CPS-53 (KpLE1) prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130295","b2363","NP_416864.1","CPS-53 (KpLE1) prophage; predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130296","b2364","NP_416865.1","DNA-binding transcriptional dual regulator","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","SSD","NP_233262.1"
"16130297","b2365","NP_416866.1","D-serine permease","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","NP_233289.1"
"16130298","b2366","NP_416867.1","D-serine dehydratase","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000994873.1","0","N/A","","1 to 1","SSD","NP_233261.1"
"16130299","b2367","NP_416868.1","predicted multidrug efflux system","0","N/A","","0","N/A","","0","N/A","","1 to 2","RBB","WP_000857095.1","0","N/A","","2 to 1","RBB","NP_231054.1"
"16130300","b2368","NP_416869.1","EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component","1 to 2","RBB","WP_010946018.1","0","N/A","","1 to 2","RBB","WP_012213469.1","1 to 2","RBB","WP_000128703.1","0","N/A","","2 to 1","RBB","NP_231053.1"
"16130301","b2369","NP_416870.1","DNA-binding response regulator in two-component regulatory system with EvgS","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130302","b2370","NP_416871.1","hybrid sensory histidine kinase in two-component regulatory system with EvgA","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"162135906","b2371","NP_416872.4","predicted CoA-transferase, NAD(P)-binding","1 to 1","Borderline-SSD","WP_025862451.1","0","N/A","","4 to 1","RBB","WP_012213343.1;WP_012213057.1;WP_006417033.1;WP_012212650.1","2 to 1","RBB","WP_000501101.1;WP_000501144.1","0","N/A","","0","N/A",""
"16130304","b2372","NP_416873.1","predicted transporter","0","N/A","","0","N/A","","0","N/A","","1 to 1","RBB","WP_000231863.1","0","N/A","","0","N/A",""
"16130305","b2373","NP_416874.1","oxalyl CoA decarboxylase, ThDP-dependent","1 to 5","RBB","WP_010947377.1","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130306","b2374","NP_416875.1","formyl-CoA transferase, NAD(P)-binding","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130307","b2375","NP_416876.1","predicted protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130308","b2376","NP_416877.1","predicted lipoprotein involved in colanic acid biosynthesis","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130309","b2377","NP_416878.1","predicted inner membrane protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"90111426","b2378","NP_416879.4","palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase","0","N/A","","1 to 2","RBB","WP_002801091.1","1 to 2","RBB","WP_012214344.1","1 to 2","RBB","WP_000078878.1","2 to 1","RBB","WP_013049852.1","2 to 1","RBB","NP_229870.1"
"16130311","b2379","NP_416880.1","valine-pyruvate aminotransferase 3","1 to 1","SSD","WP_011213745.1","1 to 1","RBB","WP_002854656.1","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130312","b2380","NP_416881.1","predicted sensory kinase in two-component system with YpdB","0","N/A","","0","N/A","","0","N/A","","1 to 2","Borderline-SSD","WP_000269799.1","2 to 1","RBB","WP_013053570.1","0","N/A",""
"16130313","b2381","NP_416882.1","predicted response regulator in two-component system with YpdA","0","N/A","","0","N/A","","0","N/A","","1 to 2","Borderline-SSD","WP_000865993.1","2 to 1","RBB","WP_013053571.1","0","N/A",""
"16130314","b2382","NP_416883.1","predicted DNA-binding protein","0","N/A","","0","N/A","","2 to 1","RBB","WP_038442023.1;WP_012218411.1","0","N/A","","0","N/A","","1 to 1","RBB","NP_231459.1"
"16130315","b2383","NP_416884.1","fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component","0","N/A","","0","N/A","","0","N/A","","1 to 2","RBB","WP_000880346.1","2 to 1","RBB","WP_013051213.1","0","N/A",""
"16130316","b2384","NP_416885.1","aminopeptidase","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130317","b2385","NP_416886.1","Xaa-Pro aminopeptidase","0","N/A","","1 to 2","SSD","WP_002866510.1","0","N/A","","0","N/A","","1 to 1","RBB","WP_013050136.1","2 to 1","RBB","NP_229726.1"
"16130318","b2386","NP_416887.1","predicted enzyme IIC component of PTS","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130319","b2387","NP_416888.1","predicted enzyme IIB component of PTS","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130320","b2388","NP_416889.1","glucokinase","1 to 1","SSD","WP_011945597.1","0","N/A","","1 to 1","RBB","WP_006410513.1","0","N/A","","0","N/A","","0","N/A",""
"16130321","b2389","NP_416890.1","predicted ion channel protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130322","b2390","NP_416891.1","conserved protein","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A","","0","N/A",""
"16130324","b2392","NP_416893.1","manganese/divalent cation transporter","0","N/A","","0","N/A","","1 to 1","RBB","WP_012217730.1","0","N/A","","0","N/A","","0","N/A",""
